t=0.00s -> Pos=(1.45) m, Vel=(0.07) m/s, Acel=(-0.14) m/s^2
t=0.03s -> Pos=(1.45) m, Vel=(0.07) m/s, Acel=(-0.16) m/s^2
t=0.07s -> Pos=(1.45) m, Vel=(0.06) m/s, Acel=(-0.17) m/s^2
t=0.10s -> Pos=(1.47) m, Vel=(0.05) m/s, Acel=(-0.13) m/s^2
t=0.13s -> Pos=(1.46) m, Vel=(0.04) m/s, Acel=(-0.06) m/s^2
t=0.17s -> Pos=(1.46) m, Vel=(0.04) m/s, Acel=(0.03) m/s^2
t=0.20s -> Pos=(1.46) m, Vel=(0.05) m/s, Acel=(0.10) m/s^2
t=0.23s -> Pos=(1.47) m, Vel=(0.06) m/s, Acel=(0.11) m/s^2
t=0.27s -> Pos=(1.47) m, Vel=(0.06) m/s, Acel=(0.04) m/s^2
t=0.30s -> Pos=(1.47) m, Vel=(0.06) m/s, Acel=(-0.07) m/s^2
t=0.33s -> Pos=(1.48) m, Vel=(0.06) m/s, Acel=(-0.16) m/s^2
t=0.37s -> Pos=(1.48) m, Vel=(0.05) m/s, Acel=(-0.18) m/s^2
t=0.40s -> Pos=(1.48) m, Vel=(0.03) m/s, Acel=(-0.13) m/s^2
t=0.43s -> Pos=(1.48) m, Vel=(0.03) m/s, Acel=(-0.02) m/s^2
t=0.47s -> Pos=(1.48) m, Vel=(0.04) m/s, Acel=(0.10) m/s^2
t=0.50s -> Pos=(1.48) m, Vel=(0.04) m/s, Acel=(0.19) m/s^2
t=0.53s -> Pos=(1.48) m, Vel=(0.05) m/s, Acel=(0.20) m/s^2
t=0.57s -> Pos=(1.48) m, Vel=(0.06) m/s, Acel=(0.14) m/s^2
t=0.60s -> Pos=(1.48) m, Vel=(0.07) m/s, Acel=(0.06) m/s^2
t=0.63s -> Pos=(1.49) m, Vel=(0.07) m/s, Acel=(-0.03) m/s^2
t=0.67s -> Pos=(1.49) m, Vel=(0.06) m/s, Acel=(-0.11) m/s^2
t=0.70s -> Pos=(1.49) m, Vel=(0.06) m/s, Acel=(-0.13) m/s^2
t=0.73s -> Pos=(1.49) m, Vel=(0.05) m/s, Acel=(-0.05) m/s^2
t=0.77s -> Pos=(1.50) m, Vel=(0.04) m/s, Acel=(0.15) m/s^2
t=0.80s -> Pos=(1.50) m, Vel=(0.05) m/s, Acel=(0.48) m/s^2
t=0.83s -> Pos=(1.50) m, Vel=(0.06) m/s, Acel=(0.90) m/s^2
t=0.87s -> Pos=(1.50) m, Vel=(0.10) m/s, Acel=(1.39) m/s^2
t=0.90s -> Pos=(1.50) m, Vel=(0.16) m/s, Acel=(1.84) m/s^2
t=0.93s -> Pos=(1.50) m, Vel=(0.23) m/s, Acel=(2.18) m/s^2
t=0.97s -> Pos=(1.51) m, Vel=(0.32) m/s, Acel=(2.37) m/s^2
t=1.00s -> Pos=(1.52) m, Vel=(0.41) m/s, Acel=(2.43) m/s^2
t=1.03s -> Pos=(1.55) m, Vel=(0.49) m/s, Acel=(2.41) m/s^2
t=1.07s -> Pos=(1.56) m, Vel=(0.56) m/s, Acel=(2.37) m/s^2
t=1.10s -> Pos=(1.57) m, Vel=(0.64) m/s, Acel=(2.36) m/s^2
t=1.13s -> Pos=(1.60) m, Vel=(0.72) m/s, Acel=(2.43) m/s^2
t=1.17s -> Pos=(1.64) m, Vel=(0.80) m/s, Acel=(2.54) m/s^2
t=1.20s -> Pos=(1.64) m, Vel=(0.88) m/s, Acel=(2.68) m/s^2
t=1.23s -> Pos=(1.69) m, Vel=(0.98) m/s, Acel=(2.84) m/s^2
t=1.27s -> Pos=(1.73) m, Vel=(1.07) m/s, Acel=(3.01) m/s^2
t=1.30s -> Pos=(1.75) m, Vel=(1.18) m/s, Acel=(3.14) m/s^2
t=1.33s -> Pos=(1.80) m, Vel=(1.29) m/s, Acel=(3.19) m/s^2
t=1.37s -> Pos=(1.85) m, Vel=(1.40) m/s, Acel=(3.11) m/s^2
t=1.40s -> Pos=(1.87) m, Vel=(1.51) m/s, Acel=(2.90) m/s^2
t=1.43s -> Pos=(1.95) m, Vel=(1.61) m/s, Acel=(2.52) m/s^2
t=1.47s -> Pos=(2.01) m, Vel=(1.68) m/s, Acel=(2.04) m/s^2
t=1.50s -> Pos=(2.04) m, Vel=(1.74) m/s, Acel=(1.54) m/s^2
t=1.53s -> Pos=(2.13) m, Vel=(1.78) m/s, Acel=(1.10) m/s^2
t=1.57s -> Pos=(2.19) m, Vel=(1.80) m/s, Acel=(0.77) m/s^2
t=1.60s -> Pos=(2.22) m, Vel=(1.82) m/s, Acel=(0.56) m/s^2
t=1.63s -> Pos=(2.31) m, Vel=(1.84) m/s, Acel=(0.50) m/s^2
t=1.67s -> Pos=(2.37) m, Vel=(1.85) m/s, Acel=(0.55) m/s^2
t=1.70s -> Pos=(2.41) m, Vel=(1.87) m/s, Acel=(0.69) m/s^2
t=1.73s -> Pos=(2.49) m, Vel=(1.89) m/s, Acel=(0.88) m/s^2
t=1.77s -> Pos=(2.55) m, Vel=(1.92) m/s, Acel=(1.06) m/s^2
t=1.80s -> Pos=(2.59) m, Vel=(1.96) m/s, Acel=(1.16) m/s^2
t=1.83s -> Pos=(2.69) m, Vel=(2.01) m/s, Acel=(1.10) m/s^2
t=1.87s -> Pos=(2.75) m, Vel=(2.06) m/s, Acel=(0.83) m/s^2
t=1.90s -> Pos=(2.79) m, Vel=(2.09) m/s, Acel=(0.40) m/s^2
t=1.93s -> Pos=(2.90) m, Vel=(2.09) m/s, Acel=(-0.08) m/s^2
t=1.97s -> Pos=(2.96) m, Vel=(2.07) m/s, Acel=(-0.46) m/s^2
