t=0.00s -> Pos=(1.27) m, Vel=(1.60) m/s, Acel=(6.59) m/s^2
t=0.03s -> Pos=(1.36) m, Vel=(1.79) m/s, Acel=(6.51) m/s^2
t=0.07s -> Pos=(1.46) m, Vel=(2.08) m/s, Acel=(6.04) m/s^2
t=0.10s -> Pos=(1.53) m, Vel=(2.32) m/s, Acel=(5.01) m/s^2
t=0.13s -> Pos=(1.61) m, Vel=(2.48) m/s, Acel=(3.60) m/s^2
t=0.17s -> Pos=(1.71) m, Vel=(2.53) m/s, Acel=(2.14) m/s^2
t=0.20s -> Pos=(1.79) m, Vel=(2.54) m/s, Acel=(1.03) m/s^2
t=0.23s -> Pos=(1.87) m, Vel=(2.54) m/s, Acel=(0.47) m/s^2
t=0.27s -> Pos=(1.95) m, Vel=(2.56) m/s, Acel=(0.32) m/s^2
t=0.30s -> Pos=(2.04) m, Vel=(2.58) m/s, Acel=(0.32) m/s^2
t=0.33s -> Pos=(2.13) m, Vel=(2.59) m/s, Acel=(0.28) m/s^2
t=0.37s -> Pos=(2.21) m, Vel=(2.59) m/s, Acel=(0.18) m/s^2
t=0.40s -> Pos=(2.30) m, Vel=(2.60) m/s, Acel=(0.06) m/s^2
t=0.43s -> Pos=(2.39) m, Vel=(2.60) m/s, Acel=(-0.07) m/s^2
t=0.47s -> Pos=(2.47) m, Vel=(2.60) m/s, Acel=(-0.21) m/s^2
t=0.50s -> Pos=(2.56) m, Vel=(2.59) m/s, Acel=(-0.32) m/s^2
t=0.53s -> Pos=(2.65) m, Vel=(2.57) m/s, Acel=(-0.37) m/s^2
t=0.57s -> Pos=(2.73) m, Vel=(2.55) m/s, Acel=(-0.35) m/s^2
t=0.60s -> Pos=(2.83) m, Vel=(2.54) m/s, Acel=(-0.29) m/s^2
t=0.63s -> Pos=(2.89) m, Vel=(2.53) m/s, Acel=(-0.19) m/s^2
t=0.67s -> Pos=(2.99) m, Vel=(2.53) m/s, Acel=(-0.11) m/s^2
t=0.70s -> Pos=(3.07) m, Vel=(2.53) m/s, Acel=(-0.07) m/s^2
t=0.73s -> Pos=(3.15) m, Vel=(2.53) m/s, Acel=(-0.09) m/s^2
t=0.77s -> Pos=(3.24) m, Vel=(2.53) m/s, Acel=(-0.13) m/s^2
t=0.80s -> Pos=(3.33) m, Vel=(2.52) m/s, Acel=(-0.16) m/s^2
t=0.83s -> Pos=(3.40) m, Vel=(2.51) m/s, Acel=(-0.18) m/s^2
t=0.87s -> Pos=(3.49) m, Vel=(2.51) m/s, Acel=(-0.17) m/s^2
t=0.90s -> Pos=(3.58) m, Vel=(2.50) m/s, Acel=(-0.13) m/s^2
t=0.93s -> Pos=(3.66) m, Vel=(2.50) m/s, Acel=(-0.09) m/s^2
t=0.97s -> Pos=(3.73) m, Vel=(2.50) m/s, Acel=(-0.08) m/s^2
t=1.00s -> Pos=(3.83) m, Vel=(2.49) m/s, Acel=(-0.09) m/s^2
t=1.03s -> Pos=(3.90) m, Vel=(2.49) m/s, Acel=(-0.14) m/s^2
t=1.07s -> Pos=(4.00) m, Vel=(2.49) m/s, Acel=(-0.23) m/s^2
t=1.10s -> Pos=(4.07) m, Vel=(2.48) m/s, Acel=(-0.32) m/s^2
t=1.13s -> Pos=(4.15) m, Vel=(2.47) m/s, Acel=(-0.39) m/s^2
t=1.17s -> Pos=(4.24) m, Vel=(2.45) m/s, Acel=(-0.40) m/s^2
t=1.20s -> Pos=(4.32) m, Vel=(2.43) m/s, Acel=(-0.36) m/s^2
t=1.23s -> Pos=(4.40) m, Vel=(2.42) m/s, Acel=(-0.25) m/s^2
t=1.27s -> Pos=(4.48) m, Vel=(2.41) m/s, Acel=(-0.10) m/s^2
