t=0.00s -> Pos=(1.97) m, Vel=(0.10) m/s, Acel=(-0.13) m/s^2
t=0.03s -> Pos=(1.97) m, Vel=(0.09) m/s, Acel=(-0.19) m/s^2
t=0.07s -> Pos=(1.97) m, Vel=(0.09) m/s, Acel=(-0.26) m/s^2
t=0.10s -> Pos=(1.98) m, Vel=(0.08) m/s, Acel=(-0.31) m/s^2
t=0.13s -> Pos=(1.99) m, Vel=(0.06) m/s, Acel=(-0.30) m/s^2
t=0.17s -> Pos=(1.98) m, Vel=(0.04) m/s, Acel=(-0.23) m/s^2
t=0.20s -> Pos=(1.97) m, Vel=(0.04) m/s, Acel=(-0.11) m/s^2
t=0.23s -> Pos=(1.98) m, Vel=(0.04) m/s, Acel=(0.05) m/s^2
t=0.27s -> Pos=(1.99) m, Vel=(0.04) m/s, Acel=(0.23) m/s^2
t=0.30s -> Pos=(1.99) m, Vel=(0.05) m/s, Acel=(0.38) m/s^2
t=0.33s -> Pos=(1.99) m, Vel=(0.07) m/s, Acel=(0.53) m/s^2
t=0.37s -> Pos=(1.99) m, Vel=(0.09) m/s, Acel=(0.68) m/s^2
t=0.40s -> Pos=(1.99) m, Vel=(0.12) m/s, Acel=(0.81) m/s^2
t=0.43s -> Pos=(2.00) m, Vel=(0.15) m/s, Acel=(0.93) m/s^2
t=0.47s -> Pos=(2.00) m, Vel=(0.18) m/s, Acel=(1.05) m/s^2
t=0.50s -> Pos=(2.01) m, Vel=(0.22) m/s, Acel=(1.17) m/s^2
t=0.53s -> Pos=(2.02) m, Vel=(0.26) m/s, Acel=(1.27) m/s^2
t=0.57s -> Pos=(2.02) m, Vel=(0.30) m/s, Acel=(1.29) m/s^2
t=0.60s -> Pos=(2.03) m, Vel=(0.35) m/s, Acel=(1.21) m/s^2
t=0.63s -> Pos=(2.04) m, Vel=(0.40) m/s, Acel=(1.05) m/s^2
t=0.67s -> Pos=(2.07) m, Vel=(0.43) m/s, Acel=(0.87) m/s^2
t=0.70s -> Pos=(2.08) m, Vel=(0.45) m/s, Acel=(0.75) m/s^2
t=0.73s -> Pos=(2.09) m, Vel=(0.46) m/s, Acel=(0.78) m/s^2
t=0.77s -> Pos=(2.12) m, Vel=(0.48) m/s, Acel=(0.99) m/s^2
t=0.80s -> Pos=(2.12) m, Vel=(0.52) m/s, Acel=(1.30) m/s^2
t=0.83s -> Pos=(2.14) m, Vel=(0.57) m/s, Acel=(1.62) m/s^2
t=0.87s -> Pos=(2.16) m, Vel=(0.63) m/s, Acel=(1.86) m/s^2
t=0.90s -> Pos=(2.18) m, Vel=(0.71) m/s, Acel=(2.01) m/s^2
t=0.93s -> Pos=(2.21) m, Vel=(0.78) m/s, Acel=(2.02) m/s^2
t=0.97s -> Pos=(2.24) m, Vel=(0.84) m/s, Acel=(1.91) m/s^2
t=1.00s -> Pos=(2.25) m, Vel=(0.91) m/s, Acel=(1.69) m/s^2
t=1.03s -> Pos=(2.29) m, Vel=(0.97) m/s, Acel=(1.40) m/s^2
t=1.07s -> Pos=(2.34) m, Vel=(1.01) m/s, Acel=(1.08) m/s^2
t=1.10s -> Pos=(2.36) m, Vel=(1.04) m/s, Acel=(0.81) m/s^2
t=1.13s -> Pos=(2.40) m, Vel=(1.05) m/s, Acel=(0.74) m/s^2
t=1.17s -> Pos=(2.44) m, Vel=(1.06) m/s, Acel=(0.91) m/s^2
t=1.20s -> Pos=(2.48) m, Vel=(1.09) m/s, Acel=(1.29) m/s^2
t=1.23s -> Pos=(2.50) m, Vel=(1.14) m/s, Acel=(1.76) m/s^2
t=1.27s -> Pos=(2.54) m, Vel=(1.21) m/s, Acel=(2.16) m/s^2
t=1.30s -> Pos=(2.58) m, Vel=(1.30) m/s, Acel=(2.36) m/s^2
t=1.33s -> Pos=(2.63) m, Vel=(1.40) m/s, Acel=(2.32) m/s^2
t=1.37s -> Pos=(2.68) m, Vel=(1.48) m/s, Acel=(2.09) m/s^2
t=1.40s -> Pos=(2.73) m, Vel=(1.54) m/s, Acel=(1.81) m/s^2
t=1.43s -> Pos=(2.78) m, Vel=(1.58) m/s, Acel=(1.60) m/s^2
t=1.47s -> Pos=(2.84) m, Vel=(1.63) m/s, Acel=(1.50) m/s^2
t=1.50s -> Pos=(2.89) m, Vel=(1.67) m/s, Acel=(1.50) m/s^2
t=1.53s -> Pos=(2.94) m, Vel=(1.73) m/s, Acel=(1.48) m/s^2
t=1.57s -> Pos=(3.00) m, Vel=(1.78) m/s, Acel=(1.34) m/s^2
t=1.60s -> Pos=(3.06) m, Vel=(1.84) m/s, Acel=(1.06) m/s^2
t=1.63s -> Pos=(3.14) m, Vel=(1.87) m/s, Acel=(0.68) m/s^2
t=1.67s -> Pos=(3.19) m, Vel=(1.88) m/s, Acel=(0.27) m/s^2
t=1.70s -> Pos=(3.26) m, Vel=(1.88) m/s, Acel=(-0.03) m/s^2
t=1.73s -> Pos=(3.31) m, Vel=(1.86) m/s, Acel=(-0.12) m/s^2
t=1.77s -> Pos=(3.39) m, Vel=(1.85) m/s, Acel=(0.02) m/s^2
t=1.80s -> Pos=(3.44) m, Vel=(1.84) m/s, Acel=(0.28) m/s^2
t=1.83s -> Pos=(3.50) m, Vel=(1.86) m/s, Acel=(0.55) m/s^2
t=1.87s -> Pos=(3.56) m, Vel=(1.90) m/s, Acel=(0.67) m/s^2
t=1.90s -> Pos=(3.63) m, Vel=(1.93) m/s, Acel=(0.55) m/s^2
t=1.93s -> Pos=(3.69) m, Vel=(1.96) m/s, Acel=(0.19) m/s^2
t=1.97s -> Pos=(3.76) m, Vel=(1.96) m/s, Acel=(-0.32) m/s^2
t=2.00s -> Pos=(3.84) m, Vel=(1.94) m/s, Acel=(-0.81) m/s^2
t=2.03s -> Pos=(3.89) m, Vel=(1.89) m/s, Acel=(-1.17) m/s^2
t=2.07s -> Pos=(3.96) m, Vel=(1.83) m/s, Acel=(-1.31) m/s^2
t=2.10s -> Pos=(4.01) m, Vel=(1.78) m/s, Acel=(-1.24) m/s^2
t=2.13s -> Pos=(4.07) m, Vel=(1.74) m/s, Acel=(-1.01) m/s^2
t=2.17s -> Pos=(4.13) m, Vel=(1.71) m/s, Acel=(-0.71) m/s^2
t=2.20s -> Pos=(4.19) m, Vel=(1.70) m/s, Acel=(-0.39) m/s^2
t=2.23s -> Pos=(4.24) m, Vel=(1.69) m/s, Acel=(-0.13) m/s^2
t=2.27s -> Pos=(4.30) m, Vel=(1.69) m/s, Acel=(0.07) m/s^2
t=2.30s -> Pos=(4.35) m, Vel=(1.70) m/s, Acel=(0.20) m/s^2
t=2.33s -> Pos=(4.41) m, Vel=(1.71) m/s, Acel=(0.29) m/s^2
t=2.37s -> Pos=(4.46) m, Vel=(1.72) m/s, Acel=(0.39) m/s^2
t=2.40s -> Pos=(4.53) m, Vel=(1.73) m/s, Acel=(0.56) m/s^2
t=2.43s -> Pos=(4.59) m, Vel=(1.75) m/s, Acel=(0.82) m/s^2
t=2.47s -> Pos=(4.64) m, Vel=(1.78) m/s, Acel=(1.15) m/s^2
t=2.50s -> Pos=(4.70) m, Vel=(1.82) m/s, Acel=(1.47) m/s^2
t=2.53s -> Pos=(4.75) m, Vel=(1.88) m/s, Acel=(1.68) m/s^2
t=2.57s -> Pos=(4.82) m, Vel=(1.95) m/s, Acel=(1.73) m/s^2
t=2.60s -> Pos=(4.90) m, Vel=(2.02) m/s, Acel=(1.62) m/s^2
t=2.63s -> Pos=(4.96) m, Vel=(2.07) m/s, Acel=(1.40) m/s^2
t=2.67s -> Pos=(5.02) m, Vel=(2.11) m/s, Acel=(1.16) m/s^2
t=2.70s -> Pos=(5.10) m, Vel=(2.14) m/s, Acel=(0.99) m/s^2
t=2.73s -> Pos=(5.17) m, Vel=(2.17) m/s, Acel=(0.95) m/s^2
t=2.77s -> Pos=(5.26) m, Vel=(2.19) m/s, Acel=(1.01) m/s^2
t=2.80s -> Pos=(5.31) m, Vel=(2.22) m/s, Acel=(1.14) m/s^2
t=2.83s -> Pos=(5.39) m, Vel=(2.27) m/s, Acel=(1.31) m/s^2
t=2.87s -> Pos=(5.47) m, Vel=(2.32) m/s, Acel=(1.46) m/s^2
t=2.90s -> Pos=(5.55) m, Vel=(2.37) m/s, Acel=(1.55) m/s^2
t=2.93s -> Pos=(5.62) m, Vel=(2.42) m/s, Acel=(1.59) m/s^2
t=2.97s -> Pos=(5.71) m, Vel=(2.48) m/s, Acel=(1.57) m/s^2
t=3.00s -> Pos=(5.79) m, Vel=(2.53) m/s, Acel=(1.50) m/s^2
t=3.03s -> Pos=(5.88) m, Vel=(2.58) m/s, Acel=(1.31) m/s^2
t=3.07s -> Pos=(5.96) m, Vel=(2.63) m/s, Acel=(1.00) m/s^2
t=3.10s -> Pos=(6.05) m, Vel=(2.66) m/s, Acel=(0.58) m/s^2
t=3.13s -> Pos=(6.15) m, Vel=(2.68) m/s, Acel=(0.12) m/s^2
t=3.17s -> Pos=(6.25) m, Vel=(2.67) m/s, Acel=(-0.28) m/s^2
t=3.20s -> Pos=(6.32) m, Vel=(2.64) m/s, Acel=(-0.53) m/s^2
t=3.23s -> Pos=(6.41) m, Vel=(2.61) m/s, Acel=(-0.56) m/s^2
t=3.27s -> Pos=(6.50) m, Vel=(2.59) m/s, Acel=(-0.38) m/s^2
t=3.30s -> Pos=(6.58) m, Vel=(2.58) m/s, Acel=(-0.10) m/s^2
t=3.33s -> Pos=(6.67) m, Vel=(2.58) m/s, Acel=(0.20) m/s^2
t=3.37s -> Pos=(6.76) m, Vel=(2.60) m/s, Acel=(0.43) m/s^2
t=3.40s -> Pos=(6.83) m, Vel=(2.62) m/s, Acel=(0.53) m/s^2
t=3.43s -> Pos=(6.93) m, Vel=(2.64) m/s, Acel=(0.47) m/s^2
t=3.47s -> Pos=(7.01) m, Vel=(2.66) m/s, Acel=(0.27) m/s^2
t=3.50s -> Pos=(7.11) m, Vel=(2.67) m/s, Acel=(-0.06) m/s^2
t=3.53s -> Pos=(7.19) m, Vel=(2.67) m/s, Acel=(-0.45) m/s^2
t=3.57s -> Pos=(7.29) m, Vel=(2.64) m/s, Acel=(-0.79) m/s^2
t=3.60s -> Pos=(7.38) m, Vel=(2.60) m/s, Acel=(-0.98) m/s^2
t=3.63s -> Pos=(7.47) m, Vel=(2.55) m/s, Acel=(-0.95) m/s^2
t=3.67s -> Pos=(7.54) m, Vel=(2.52) m/s, Acel=(-0.69) m/s^2
t=3.70s -> Pos=(7.62) m, Vel=(2.49) m/s, Acel=(-0.26) m/s^2
t=3.73s -> Pos=(7.71) m, Vel=(2.49) m/s, Acel=(0.21) m/s^2
t=3.77s -> Pos=(7.79) m, Vel=(2.52) m/s, Acel=(0.56) m/s^2
t=3.80s -> Pos=(7.87) m, Vel=(2.55) m/s, Acel=(0.70) m/s^2
t=3.83s -> Pos=(7.97) m, Vel=(2.59) m/s, Acel=(0.61) m/s^2
t=3.87s -> Pos=(8.04) m, Vel=(2.61) m/s, Acel=(0.34) m/s^2
t=3.90s -> Pos=(8.13) m, Vel=(2.61) m/s, Acel=(0.02) m/s^2
t=3.93s -> Pos=(8.23) m, Vel=(2.60) m/s, Acel=(-0.24) m/s^2
t=3.97s -> Pos=(8.31) m, Vel=(2.58) m/s, Acel=(-0.33) m/s^2
t=4.00s -> Pos=(8.40) m, Vel=(2.56) m/s, Acel=(-0.25) m/s^2
t=4.03s -> Pos=(8.48) m, Vel=(2.55) m/s, Acel=(-0.02) m/s^2
t=4.07s -> Pos=(8.57) m, Vel=(2.56) m/s, Acel=(0.26) m/s^2
t=4.10s -> Pos=(8.64) m, Vel=(2.58) m/s, Acel=(0.51) m/s^2
t=4.13s -> Pos=(8.74) m, Vel=(2.60) m/s, Acel=(0.65) m/s^2
t=4.17s -> Pos=(8.82) m, Vel=(2.63) m/s, Acel=(0.64) m/s^2
t=4.20s -> Pos=(8.91) m, Vel=(2.66) m/s, Acel=(0.46) m/s^2
t=4.23s -> Pos=(9.00) m, Vel=(2.67) m/s, Acel=(0.16) m/s^2
t=4.27s -> Pos=(9.10) m, Vel=(2.67) m/s, Acel=(-0.18) m/s^2
t=4.30s -> Pos=(9.18) m, Vel=(2.66) m/s, Acel=(-0.49) m/s^2
t=4.33s -> Pos=(9.28) m, Vel=(2.63) m/s, Acel=(-0.70) m/s^2
t=4.37s -> Pos=(9.35) m, Vel=(2.60) m/s, Acel=(-0.76) m/s^2
t=4.40s -> Pos=(9.44) m, Vel=(2.57) m/s, Acel=(-0.68) m/s^2
t=4.43s -> Pos=(9.53) m, Vel=(2.54) m/s, Acel=(-0.50) m/s^2
t=4.47s -> Pos=(9.61) m, Vel=(2.53) m/s, Acel=(-0.26) m/s^2
t=4.50s -> Pos=(9.69) m, Vel=(2.53) m/s, Acel=(0.00) m/s^2
t=4.53s -> Pos=(9.79) m, Vel=(2.53) m/s, Acel=(0.25) m/s^2
t=4.57s -> Pos=(9.87) m, Vel=(2.55) m/s, Acel=(0.43) m/s^2
t=4.60s -> Pos=(9.94) m, Vel=(2.57) m/s, Acel=(0.51) m/s^2
t=4.63s -> Pos=(10.03) m, Vel=(2.59) m/s, Acel=(0.48) m/s^2
t=4.67s -> Pos=(10.12) m, Vel=(2.61) m/s, Acel=(0.35) m/s^2
t=4.70s -> Pos=(10.21) m, Vel=(2.62) m/s, Acel=(0.17) m/s^2
t=4.73s -> Pos=(10.30) m, Vel=(2.62) m/s, Acel=(0.01) m/s^2
