t=0.00s -> Pos=(0.43) m, Vel=(1.37) m/s, Acel=(6.31) m/s^2
t=0.03s -> Pos=(0.50) m, Vel=(1.55) m/s, Acel=(6.42) m/s^2
t=0.07s -> Pos=(0.59) m, Vel=(1.83) m/s, Acel=(6.30) m/s^2
t=0.10s -> Pos=(0.65) m, Vel=(2.08) m/s, Acel=(5.64) m/s^2
t=0.13s -> Pos=(0.73) m, Vel=(2.27) m/s, Acel=(4.47) m/s^2
t=0.17s -> Pos=(0.79) m, Vel=(2.38) m/s, Acel=(3.02) m/s^2
t=0.20s -> Pos=(0.89) m, Vel=(2.43) m/s, Acel=(1.69) m/s^2
t=0.23s -> Pos=(0.98) m, Vel=(2.45) m/s, Acel=(0.75) m/s^2
t=0.27s -> Pos=(1.05) m, Vel=(2.46) m/s, Acel=(0.18) m/s^2
t=0.30s -> Pos=(1.13) m, Vel=(2.46) m/s, Acel=(-0.13) m/s^2
t=0.33s -> Pos=(1.22) m, Vel=(2.44) m/s, Acel=(-0.24) m/s^2
t=0.37s -> Pos=(1.30) m, Vel=(2.42) m/s, Acel=(-0.21) m/s^2
t=0.40s -> Pos=(1.38) m, Vel=(2.41) m/s, Acel=(-0.05) m/s^2
t=0.43s -> Pos=(1.45) m, Vel=(2.42) m/s, Acel=(0.18) m/s^2
t=0.47s -> Pos=(1.54) m, Vel=(2.43) m/s, Acel=(0.43) m/s^2
t=0.50s -> Pos=(1.62) m, Vel=(2.45) m/s, Acel=(0.62) m/s^2
t=0.53s -> Pos=(1.70) m, Vel=(2.48) m/s, Acel=(0.70) m/s^2
t=0.57s -> Pos=(1.78) m, Vel=(2.51) m/s, Acel=(0.68) m/s^2
t=0.60s -> Pos=(1.87) m, Vel=(2.53) m/s, Acel=(0.57) m/s^2
t=0.63s -> Pos=(1.95) m, Vel=(2.55) m/s, Acel=(0.42) m/s^2
t=0.67s -> Pos=(2.04) m, Vel=(2.56) m/s, Acel=(0.27) m/s^2
t=0.70s -> Pos=(2.12) m, Vel=(2.56) m/s, Acel=(0.20) m/s^2
t=0.73s -> Pos=(2.21) m, Vel=(2.56) m/s, Acel=(0.23) m/s^2
t=0.77s -> Pos=(2.29) m, Vel=(2.57) m/s, Acel=(0.36) m/s^2
t=0.80s -> Pos=(2.38) m, Vel=(2.58) m/s, Acel=(0.55) m/s^2
