t=0.00s -> Pos=(1.15) m, Vel=(1.48) m/s, Acel=(5.90) m/s^2
t=0.03s -> Pos=(1.25) m, Vel=(1.65) m/s, Acel=(5.76) m/s^2
t=0.07s -> Pos=(1.31) m, Vel=(1.91) m/s, Acel=(5.22) m/s^2
t=0.10s -> Pos=(1.39) m, Vel=(2.13) m/s, Acel=(4.13) m/s^2
t=0.13s -> Pos=(1.47) m, Vel=(2.25) m/s, Acel=(2.67) m/s^2
t=0.17s -> Pos=(1.55) m, Vel=(2.27) m/s, Acel=(1.19) m/s^2
t=0.20s -> Pos=(1.61) m, Vel=(2.25) m/s, Acel=(0.16) m/s^2
t=0.23s -> Pos=(1.71) m, Vel=(2.22) m/s, Acel=(-0.18) m/s^2
t=0.27s -> Pos=(1.76) m, Vel=(2.21) m/s, Acel=(-0.03) m/s^2
t=0.30s -> Pos=(1.84) m, Vel=(2.22) m/s, Acel=(0.27) m/s^2
t=0.33s -> Pos=(1.91) m, Vel=(2.24) m/s, Acel=(0.46) m/s^2
t=0.37s -> Pos=(1.98) m, Vel=(2.27) m/s, Acel=(0.47) m/s^2
t=0.40s -> Pos=(2.08) m, Vel=(2.29) m/s, Acel=(0.30) m/s^2
t=0.43s -> Pos=(2.14) m, Vel=(2.29) m/s, Acel=(0.04) m/s^2
t=0.47s -> Pos=(2.21) m, Vel=(2.29) m/s, Acel=(-0.11) m/s^2
t=0.50s -> Pos=(2.32) m, Vel=(2.27) m/s, Acel=(-0.05) m/s^2
t=0.53s -> Pos=(2.38) m, Vel=(2.25) m/s, Acel=(0.19) m/s^2
t=0.57s -> Pos=(2.43) m, Vel=(2.26) m/s, Acel=(0.53) m/s^2
t=0.60s -> Pos=(2.52) m, Vel=(2.30) m/s, Acel=(0.85) m/s^2
t=0.63s -> Pos=(2.60) m, Vel=(2.34) m/s, Acel=(0.99) m/s^2
t=0.67s -> Pos=(2.68) m, Vel=(2.39) m/s, Acel=(0.83) m/s^2
t=0.70s -> Pos=(2.74) m, Vel=(2.42) m/s, Acel=(0.43) m/s^2
t=0.73s -> Pos=(2.85) m, Vel=(2.43) m/s, Acel=(-0.03) m/s^2
t=0.77s -> Pos=(2.93) m, Vel=(2.41) m/s, Acel=(-0.43) m/s^2
t=0.80s -> Pos=(3.01) m, Vel=(2.38) m/s, Acel=(-0.65) m/s^2
t=0.83s -> Pos=(3.08) m, Vel=(2.34) m/s, Acel=(-0.64) m/s^2
t=0.87s -> Pos=(3.16) m, Vel=(2.32) m/s, Acel=(-0.46) m/s^2
t=0.90s -> Pos=(3.23) m, Vel=(2.31) m/s, Acel=(-0.27) m/s^2
t=0.93s -> Pos=(3.32) m, Vel=(2.32) m/s, Acel=(-0.17) m/s^2
t=0.97s -> Pos=(3.39) m, Vel=(2.32) m/s, Acel=(-0.18) m/s^2
t=1.00s -> Pos=(3.47) m, Vel=(2.31) m/s, Acel=(-0.25) m/s^2
t=1.03s -> Pos=(3.55) m, Vel=(2.30) m/s, Acel=(-0.29) m/s^2
t=1.07s -> Pos=(3.62) m, Vel=(2.28) m/s, Acel=(-0.24) m/s^2
t=1.10s -> Pos=(3.70) m, Vel=(2.27) m/s, Acel=(-0.09) m/s^2
t=1.13s -> Pos=(3.77) m, Vel=(2.27) m/s, Acel=(0.11) m/s^2
t=1.17s -> Pos=(3.85) m, Vel=(2.28) m/s, Acel=(0.25) m/s^2
t=1.20s -> Pos=(3.92) m, Vel=(2.30) m/s, Acel=(0.25) m/s^2
t=1.23s -> Pos=(4.00) m, Vel=(2.32) m/s, Acel=(0.11) m/s^2
t=1.27s -> Pos=(4.08) m, Vel=(2.32) m/s, Acel=(-0.10) m/s^2
t=1.30s -> Pos=(4.16) m, Vel=(2.30) m/s, Acel=(-0.28) m/s^2
