t=0.00s -> Pos=(0.31) m, Vel=(0.05) m/s, Acel=(0.12) m/s^2
t=0.03s -> Pos=(0.31) m, Vel=(0.05) m/s, Acel=(0.11) m/s^2
t=0.07s -> Pos=(0.31) m, Vel=(0.06) m/s, Acel=(0.09) m/s^2
t=0.10s -> Pos=(0.31) m, Vel=(0.06) m/s, Acel=(0.05) m/s^2
t=0.13s -> Pos=(0.32) m, Vel=(0.06) m/s, Acel=(0.00) m/s^2
t=0.17s -> Pos=(0.32) m, Vel=(0.06) m/s, Acel=(-0.05) m/s^2
t=0.20s -> Pos=(0.32) m, Vel=(0.06) m/s, Acel=(-0.08) m/s^2
t=0.23s -> Pos=(0.33) m, Vel=(0.06) m/s, Acel=(-0.09) m/s^2
t=0.27s -> Pos=(0.33) m, Vel=(0.05) m/s, Acel=(-0.11) m/s^2
t=0.30s -> Pos=(0.33) m, Vel=(0.05) m/s, Acel=(-0.16) m/s^2
t=0.33s -> Pos=(0.33) m, Vel=(0.04) m/s, Acel=(-0.22) m/s^2
t=0.37s -> Pos=(0.33) m, Vel=(0.04) m/s, Acel=(-0.30) m/s^2
t=0.40s -> Pos=(0.33) m, Vel=(0.02) m/s, Acel=(-0.36) m/s^2
t=0.43s -> Pos=(0.33) m, Vel=(0.01) m/s, Acel=(-0.36) m/s^2
t=0.47s -> Pos=(0.33) m, Vel=(-0.01) m/s, Acel=(-0.28) m/s^2
t=0.50s -> Pos=(0.33) m, Vel=(-0.02) m/s, Acel=(-0.11) m/s^2
t=0.53s -> Pos=(0.33) m, Vel=(-0.02) m/s, Acel=(0.10) m/s^2
t=0.57s -> Pos=(0.33) m, Vel=(-0.01) m/s, Acel=(0.29) m/s^2
t=0.60s -> Pos=(0.33) m, Vel=(0.01) m/s, Acel=(0.44) m/s^2
t=0.63s -> Pos=(0.33) m, Vel=(0.03) m/s, Acel=(0.56) m/s^2
t=0.67s -> Pos=(0.33) m, Vel=(0.05) m/s, Acel=(0.68) m/s^2
t=0.70s -> Pos=(0.33) m, Vel=(0.06) m/s, Acel=(0.88) m/s^2
t=0.73s -> Pos=(0.34) m, Vel=(0.09) m/s, Acel=(1.19) m/s^2
t=0.77s -> Pos=(0.33) m, Vel=(0.13) m/s, Acel=(1.60) m/s^2
t=0.80s -> Pos=(0.34) m, Vel=(0.19) m/s, Acel=(2.03) m/s^2
t=0.83s -> Pos=(0.34) m, Vel=(0.27) m/s, Acel=(2.39) m/s^2
t=0.87s -> Pos=(0.35) m, Vel=(0.37) m/s, Acel=(2.60) m/s^2
t=0.90s -> Pos=(0.37) m, Vel=(0.46) m/s, Acel=(2.68) m/s^2
t=0.93s -> Pos=(0.39) m, Vel=(0.56) m/s, Acel=(2.66) m/s^2
t=0.97s -> Pos=(0.41) m, Vel=(0.64) m/s, Acel=(2.56) m/s^2
t=1.00s -> Pos=(0.43) m, Vel=(0.72) m/s, Acel=(2.47) m/s^2
t=1.03s -> Pos=(0.45) m, Vel=(0.80) m/s, Acel=(2.40) m/s^2
t=1.07s -> Pos=(0.49) m, Vel=(0.88) m/s, Acel=(2.33) m/s^2
t=1.10s -> Pos=(0.51) m, Vel=(0.96) m/s, Acel=(2.21) m/s^2
t=1.13s -> Pos=(0.54) m, Vel=(1.04) m/s, Acel=(2.05) m/s^2
t=1.17s -> Pos=(0.59) m, Vel=(1.10) m/s, Acel=(1.87) m/s^2
t=1.20s -> Pos=(0.63) m, Vel=(1.16) m/s, Acel=(1.65) m/s^2
t=1.23s -> Pos=(0.66) m, Vel=(1.21) m/s, Acel=(1.40) m/s^2
t=1.27s -> Pos=(0.70) m, Vel=(1.25) m/s, Acel=(1.16) m/s^2
t=1.30s -> Pos=(0.75) m, Vel=(1.29) m/s, Acel=(0.93) m/s^2
t=1.33s -> Pos=(0.79) m, Vel=(1.31) m/s, Acel=(0.71) m/s^2
t=1.37s -> Pos=(0.84) m, Vel=(1.33) m/s, Acel=(0.53) m/s^2
t=1.40s -> Pos=(0.88) m, Vel=(1.35) m/s, Acel=(0.45) m/s^2
t=1.43s -> Pos=(0.93) m, Vel=(1.35) m/s, Acel=(0.49) m/s^2
t=1.47s -> Pos=(0.97) m, Vel=(1.37) m/s, Acel=(0.64) m/s^2
t=1.50s -> Pos=(1.01) m, Vel=(1.39) m/s, Acel=(0.89) m/s^2
t=1.53s -> Pos=(1.06) m, Vel=(1.42) m/s, Acel=(1.22) m/s^2
t=1.57s -> Pos=(1.11) m, Vel=(1.47) m/s, Acel=(1.56) m/s^2
t=1.60s -> Pos=(1.16) m, Vel=(1.53) m/s, Acel=(1.83) m/s^2
t=1.63s -> Pos=(1.21) m, Vel=(1.60) m/s, Acel=(1.99) m/s^2
t=1.67s -> Pos=(1.26) m, Vel=(1.67) m/s, Acel=(1.99) m/s^2
t=1.70s -> Pos=(1.32) m, Vel=(1.75) m/s, Acel=(1.80) m/s^2
t=1.73s -> Pos=(1.38) m, Vel=(1.81) m/s, Acel=(1.43) m/s^2
t=1.77s -> Pos=(1.44) m, Vel=(1.85) m/s, Acel=(0.96) m/s^2
t=1.80s -> Pos=(1.51) m, Vel=(1.87) m/s, Acel=(0.47) m/s^2
t=1.83s -> Pos=(1.58) m, Vel=(1.88) m/s, Acel=(0.06) m/s^2
t=1.87s -> Pos=(1.63) m, Vel=(1.86) m/s, Acel=(-0.23) m/s^2
t=1.90s -> Pos=(1.70) m, Vel=(1.85) m/s, Acel=(-0.38) m/s^2
t=1.93s -> Pos=(1.76) m, Vel=(1.83) m/s, Acel=(-0.41) m/s^2
t=1.97s -> Pos=(1.82) m, Vel=(1.82) m/s, Acel=(-0.35) m/s^2
t=2.00s -> Pos=(1.88) m, Vel=(1.81) m/s, Acel=(-0.25) m/s^2
t=2.03s -> Pos=(1.94) m, Vel=(1.80) m/s, Acel=(-0.12) m/s^2
t=2.07s -> Pos=(2.00) m, Vel=(1.80) m/s, Acel=(-0.01) m/s^2
t=2.10s -> Pos=(2.06) m, Vel=(1.80) m/s, Acel=(0.06) m/s^2
t=2.13s -> Pos=(2.12) m, Vel=(1.81) m/s, Acel=(0.07) m/s^2
t=2.17s -> Pos=(2.18) m, Vel=(1.81) m/s, Acel=(0.02) m/s^2
t=2.20s -> Pos=(2.24) m, Vel=(1.81) m/s, Acel=(-0.04) m/s^2
t=2.23s -> Pos=(2.30) m, Vel=(1.81) m/s, Acel=(-0.05) m/s^2
t=2.27s -> Pos=(2.36) m, Vel=(1.80) m/s, Acel=(0.04) m/s^2
t=2.30s -> Pos=(2.42) m, Vel=(1.80) m/s, Acel=(0.25) m/s^2
t=2.33s -> Pos=(2.48) m, Vel=(1.81) m/s, Acel=(0.54) m/s^2
t=2.37s -> Pos=(2.54) m, Vel=(1.83) m/s, Acel=(0.84) m/s^2
t=2.40s -> Pos=(2.60) m, Vel=(1.87) m/s, Acel=(1.09) m/s^2
