t=0.00s -> Pos=(0.43) m, Vel=(1.91) m/s, Acel=(7.47) m/s^2
t=0.03s -> Pos=(0.54) m, Vel=(2.13) m/s, Acel=(7.31) m/s^2
t=0.07s -> Pos=(0.64) m, Vel=(2.46) m/s, Acel=(6.66) m/s^2
t=0.10s -> Pos=(0.74) m, Vel=(2.73) m/s, Acel=(5.37) m/s^2
t=0.13s -> Pos=(0.84) m, Vel=(2.89) m/s, Acel=(3.64) m/s^2
t=0.17s -> Pos=(0.94) m, Vel=(2.93) m/s, Acel=(1.87) m/s^2
t=0.20s -> Pos=(1.02) m, Vel=(2.92) m/s, Acel=(0.61) m/s^2
t=0.23s -> Pos=(1.14) m, Vel=(2.90) m/s, Acel=(0.11) m/s^2
t=0.27s -> Pos=(1.23) m, Vel=(2.90) m/s, Acel=(0.11) m/s^2
t=0.30s -> Pos=(1.31) m, Vel=(2.92) m/s, Acel=(0.29) m/s^2
t=0.33s -> Pos=(1.42) m, Vel=(2.94) m/s, Acel=(0.43) m/s^2
t=0.37s -> Pos=(1.53) m, Vel=(2.95) m/s, Acel=(0.45) m/s^2
t=0.40s -> Pos=(1.61) m, Vel=(2.97) m/s, Acel=(0.35) m/s^2
t=0.43s -> Pos=(1.71) m, Vel=(2.98) m/s, Acel=(0.18) m/s^2
t=0.47s -> Pos=(1.82) m, Vel=(2.99) m/s, Acel=(-0.00) m/s^2
t=0.50s -> Pos=(1.92) m, Vel=(2.98) m/s, Acel=(-0.19) m/s^2
t=0.53s -> Pos=(2.02) m, Vel=(2.97) m/s, Acel=(-0.35) m/s^2
t=0.57s -> Pos=(2.11) m, Vel=(2.95) m/s, Acel=(-0.43) m/s^2
t=0.60s -> Pos=(2.21) m, Vel=(2.93) m/s, Acel=(-0.41) m/s^2
t=0.63s -> Pos=(2.31) m, Vel=(2.92) m/s, Acel=(-0.36) m/s^2
t=0.67s -> Pos=(2.40) m, Vel=(2.91) m/s, Acel=(-0.31) m/s^2
t=0.70s -> Pos=(2.50) m, Vel=(2.90) m/s, Acel=(-0.28) m/s^2
