t=0.00s -> Pos=(1.49) m, Vel=(1.42) m/s, Acel=(5.67) m/s^2
t=0.03s -> Pos=(1.57) m, Vel=(1.59) m/s, Acel=(5.62) m/s^2
t=0.07s -> Pos=(1.65) m, Vel=(1.84) m/s, Acel=(5.21) m/s^2
t=0.10s -> Pos=(1.72) m, Vel=(2.05) m/s, Acel=(4.30) m/s^2
t=0.13s -> Pos=(1.80) m, Vel=(2.18) m/s, Acel=(2.99) m/s^2
t=0.17s -> Pos=(1.86) m, Vel=(2.23) m/s, Acel=(1.57) m/s^2
t=0.20s -> Pos=(1.94) m, Vel=(2.22) m/s, Acel=(0.47) m/s^2
t=0.23s -> Pos=(2.02) m, Vel=(2.21) m/s, Acel=(-0.08) m/s^2
t=0.27s -> Pos=(2.10) m, Vel=(2.19) m/s, Acel=(-0.19) m/s^2
t=0.30s -> Pos=(2.17) m, Vel=(2.19) m/s, Acel=(-0.09) m/s^2
t=0.33s -> Pos=(2.23) m, Vel=(2.19) m/s, Acel=(0.04) m/s^2
t=0.37s -> Pos=(2.31) m, Vel=(2.20) m/s, Acel=(0.13) m/s^2
t=0.40s -> Pos=(2.38) m, Vel=(2.20) m/s, Acel=(0.17) m/s^2
t=0.43s -> Pos=(2.45) m, Vel=(2.21) m/s, Acel=(0.15) m/s^2
t=0.47s -> Pos=(2.53) m, Vel=(2.22) m/s, Acel=(0.11) m/s^2
t=0.50s -> Pos=(2.61) m, Vel=(2.22) m/s, Acel=(0.06) m/s^2
t=0.53s -> Pos=(2.68) m, Vel=(2.22) m/s, Acel=(0.01) m/s^2
t=0.57s -> Pos=(2.75) m, Vel=(2.22) m/s, Acel=(-0.05) m/s^2
t=0.60s -> Pos=(2.82) m, Vel=(2.22) m/s, Acel=(-0.12) m/s^2
t=0.63s -> Pos=(2.89) m, Vel=(2.21) m/s, Acel=(-0.18) m/s^2
t=0.67s -> Pos=(2.98) m, Vel=(2.21) m/s, Acel=(-0.23) m/s^2
t=0.70s -> Pos=(3.05) m, Vel=(2.19) m/s, Acel=(-0.25) m/s^2
t=0.73s -> Pos=(3.11) m, Vel=(2.18) m/s, Acel=(-0.21) m/s^2
t=0.77s -> Pos=(3.19) m, Vel=(2.18) m/s, Acel=(-0.10) m/s^2
t=0.80s -> Pos=(3.27) m, Vel=(2.17) m/s, Acel=(0.05) m/s^2
t=0.83s -> Pos=(3.33) m, Vel=(2.18) m/s, Acel=(0.19) m/s^2
t=0.87s -> Pos=(3.41) m, Vel=(2.19) m/s, Acel=(0.28) m/s^2
t=0.90s -> Pos=(3.48) m, Vel=(2.20) m/s, Acel=(0.23) m/s^2
t=0.93s -> Pos=(3.55) m, Vel=(2.22) m/s, Acel=(0.02) m/s^2
t=0.97s -> Pos=(3.63) m, Vel=(2.22) m/s, Acel=(-0.31) m/s^2
t=1.00s -> Pos=(3.71) m, Vel=(2.20) m/s, Acel=(-0.66) m/s^2
t=1.03s -> Pos=(3.79) m, Vel=(2.17) m/s, Acel=(-0.95) m/s^2
t=1.07s -> Pos=(3.85) m, Vel=(2.12) m/s, Acel=(-1.07) m/s^2
t=1.10s -> Pos=(3.93) m, Vel=(2.08) m/s, Acel=(-0.97) m/s^2
t=1.13s -> Pos=(3.99) m, Vel=(2.04) m/s, Acel=(-0.74) m/s^2
t=1.17s -> Pos=(4.05) m, Vel=(2.02) m/s, Acel=(-0.46) m/s^2
t=1.20s -> Pos=(4.12) m, Vel=(2.02) m/s, Acel=(-0.22) m/s^2
t=1.23s -> Pos=(4.19) m, Vel=(2.02) m/s, Acel=(-0.10) m/s^2
t=1.27s -> Pos=(4.26) m, Vel=(2.03) m/s, Acel=(-0.12) m/s^2
t=1.30s -> Pos=(4.32) m, Vel=(2.02) m/s, Acel=(-0.20) m/s^2
t=1.33s -> Pos=(4.40) m, Vel=(2.01) m/s, Acel=(-0.28) m/s^2
t=1.37s -> Pos=(4.46) m, Vel=(2.00) m/s, Acel=(-0.31) m/s^2
t=1.40s -> Pos=(4.52) m, Vel=(1.98) m/s, Acel=(-0.30) m/s^2
t=1.43s -> Pos=(4.59) m, Vel=(1.98) m/s, Acel=(-0.24) m/s^2
t=1.47s -> Pos=(4.66) m, Vel=(1.97) m/s, Acel=(-0.20) m/s^2
t=1.50s -> Pos=(4.72) m, Vel=(1.97) m/s, Acel=(-0.21) m/s^2
t=1.53s -> Pos=(4.78) m, Vel=(1.96) m/s, Acel=(-0.27) m/s^2
t=1.57s -> Pos=(4.86) m, Vel=(1.95) m/s, Acel=(-0.37) m/s^2
t=1.60s -> Pos=(4.92) m, Vel=(1.94) m/s, Acel=(-0.47) m/s^2
t=1.63s -> Pos=(4.98) m, Vel=(1.92) m/s, Acel=(-0.54) m/s^2
t=1.67s -> Pos=(5.05) m, Vel=(1.90) m/s, Acel=(-0.57) m/s^2
t=1.70s -> Pos=(5.11) m, Vel=(1.88) m/s, Acel=(-0.52) m/s^2
t=1.73s -> Pos=(5.18) m, Vel=(1.86) m/s, Acel=(-0.42) m/s^2
t=1.77s -> Pos=(5.23) m, Vel=(1.84) m/s, Acel=(-0.29) m/s^2
t=1.80s -> Pos=(5.29) m, Vel=(1.84) m/s, Acel=(-0.16) m/s^2
t=1.83s -> Pos=(5.35) m, Vel=(1.84) m/s, Acel=(-0.11) m/s^2
t=1.87s -> Pos=(5.42) m, Vel=(1.84) m/s, Acel=(-0.15) m/s^2
t=1.90s -> Pos=(5.47) m, Vel=(1.84) m/s, Acel=(-0.31) m/s^2
t=1.93s -> Pos=(5.54) m, Vel=(1.83) m/s, Acel=(-0.53) m/s^2
t=1.97s -> Pos=(5.60) m, Vel=(1.80) m/s, Acel=(-0.74) m/s^2
t=2.00s -> Pos=(5.66) m, Vel=(1.77) m/s, Acel=(-0.85) m/s^2
t=2.03s -> Pos=(5.72) m, Vel=(1.73) m/s, Acel=(-0.78) m/s^2
t=2.07s -> Pos=(5.78) m, Vel=(1.70) m/s, Acel=(-0.55) m/s^2
t=2.10s -> Pos=(5.83) m, Vel=(1.68) m/s, Acel=(-0.21) m/s^2
t=2.13s -> Pos=(5.88) m, Vel=(1.69) m/s, Acel=(0.14) m/s^2
t=2.17s -> Pos=(5.94) m, Vel=(1.70) m/s, Acel=(0.40) m/s^2
t=2.20s -> Pos=(6.00) m, Vel=(1.73) m/s, Acel=(0.49) m/s^2
t=2.23s -> Pos=(6.05) m, Vel=(1.75) m/s, Acel=(0.40) m/s^2
t=2.27s -> Pos=(6.12) m, Vel=(1.77) m/s, Acel=(0.21) m/s^2
t=2.30s -> Pos=(6.17) m, Vel=(1.77) m/s, Acel=(-0.02) m/s^2
t=2.33s -> Pos=(6.24) m, Vel=(1.76) m/s, Acel=(-0.23) m/s^2
t=2.37s -> Pos=(6.29) m, Vel=(1.74) m/s, Acel=(-0.35) m/s^2
t=2.40s -> Pos=(6.35) m, Vel=(1.73) m/s, Acel=(-0.36) m/s^2
t=2.43s -> Pos=(6.41) m, Vel=(1.71) m/s, Acel=(-0.30) m/s^2
t=2.47s -> Pos=(6.47) m, Vel=(1.70) m/s, Acel=(-0.22) m/s^2
t=2.50s -> Pos=(6.52) m, Vel=(1.70) m/s, Acel=(-0.15) m/s^2
t=2.53s -> Pos=(6.58) m, Vel=(1.70) m/s, Acel=(-0.12) m/s^2
t=2.57s -> Pos=(6.63) m, Vel=(1.70) m/s, Acel=(-0.14) m/s^2
t=2.60s -> Pos=(6.69) m, Vel=(1.69) m/s, Acel=(-0.18) m/s^2
t=2.63s -> Pos=(6.75) m, Vel=(1.68) m/s, Acel=(-0.21) m/s^2
t=2.67s -> Pos=(6.81) m, Vel=(1.67) m/s, Acel=(-0.20) m/s^2
t=2.70s -> Pos=(6.86) m, Vel=(1.67) m/s, Acel=(-0.18) m/s^2
t=2.73s -> Pos=(6.92) m, Vel=(1.66) m/s, Acel=(-0.17) m/s^2
t=2.77s -> Pos=(6.96) m, Vel=(1.66) m/s, Acel=(-0.20) m/s^2
t=2.80s -> Pos=(7.03) m, Vel=(1.66) m/s, Acel=(-0.27) m/s^2
t=2.83s -> Pos=(7.08) m, Vel=(1.64) m/s, Acel=(-0.37) m/s^2
t=2.87s -> Pos=(7.14) m, Vel=(1.63) m/s, Acel=(-0.47) m/s^2
t=2.90s -> Pos=(7.19) m, Vel=(1.61) m/s, Acel=(-0.52) m/s^2
t=2.93s -> Pos=(7.25) m, Vel=(1.59) m/s, Acel=(-0.51) m/s^2
t=2.97s -> Pos=(7.29) m, Vel=(1.57) m/s, Acel=(-0.45) m/s^2
t=3.00s -> Pos=(7.35) m, Vel=(1.56) m/s, Acel=(-0.38) m/s^2
t=3.03s -> Pos=(7.40) m, Vel=(1.55) m/s, Acel=(-0.32) m/s^2
t=3.07s -> Pos=(7.45) m, Vel=(1.54) m/s, Acel=(-0.30) m/s^2
t=3.10s -> Pos=(7.50) m, Vel=(1.53) m/s, Acel=(-0.33) m/s^2
t=3.13s -> Pos=(7.55) m, Vel=(1.52) m/s, Acel=(-0.42) m/s^2
t=3.17s -> Pos=(7.60) m, Vel=(1.51) m/s, Acel=(-0.56) m/s^2
t=3.20s -> Pos=(7.66) m, Vel=(1.49) m/s, Acel=(-0.73) m/s^2
t=3.23s -> Pos=(7.70) m, Vel=(1.46) m/s, Acel=(-0.89) m/s^2
t=3.27s -> Pos=(7.76) m, Vel=(1.42) m/s, Acel=(-1.00) m/s^2
t=3.30s -> Pos=(7.80) m, Vel=(1.39) m/s, Acel=(-1.02) m/s^2
t=3.33s -> Pos=(7.85) m, Vel=(1.35) m/s, Acel=(-0.95) m/s^2
t=3.37s -> Pos=(7.89) m, Vel=(1.32) m/s, Acel=(-0.80) m/s^2
t=3.40s -> Pos=(7.93) m, Vel=(1.29) m/s, Acel=(-0.63) m/s^2
t=3.43s -> Pos=(7.97) m, Vel=(1.28) m/s, Acel=(-0.49) m/s^2
t=3.47s -> Pos=(8.01) m, Vel=(1.27) m/s, Acel=(-0.41) m/s^2
t=3.50s -> Pos=(8.06) m, Vel=(1.26) m/s, Acel=(-0.42) m/s^2
t=3.53s -> Pos=(8.10) m, Vel=(1.24) m/s, Acel=(-0.50) m/s^2
t=3.57s -> Pos=(8.14) m, Vel=(1.23) m/s, Acel=(-0.61) m/s^2
t=3.60s -> Pos=(8.19) m, Vel=(1.20) m/s, Acel=(-0.72) m/s^2
t=3.63s -> Pos=(8.22) m, Vel=(1.17) m/s, Acel=(-0.79) m/s^2
t=3.67s -> Pos=(8.26) m, Vel=(1.14) m/s, Acel=(-0.81) m/s^2
t=3.70s -> Pos=(8.29) m, Vel=(1.12) m/s, Acel=(-0.77) m/s^2
t=3.73s -> Pos=(8.33) m, Vel=(1.09) m/s, Acel=(-0.68) m/s^2
t=3.77s -> Pos=(8.38) m, Vel=(1.07) m/s, Acel=(-0.55) m/s^2
t=3.80s -> Pos=(8.41) m, Vel=(1.05) m/s, Acel=(-0.43) m/s^2
t=3.83s -> Pos=(8.44) m, Vel=(1.04) m/s, Acel=(-0.35) m/s^2
