t=0.00s -> Pos=(0.42) m, Vel=(1.39) m/s, Acel=(5.86) m/s^2
t=0.03s -> Pos=(0.51) m, Vel=(1.56) m/s, Acel=(5.87) m/s^2
t=0.07s -> Pos=(0.58) m, Vel=(1.82) m/s, Acel=(5.59) m/s^2
t=0.10s -> Pos=(0.65) m, Vel=(2.04) m/s, Acel=(4.80) m/s^2
t=0.13s -> Pos=(0.72) m, Vel=(2.20) m/s, Acel=(3.61) m/s^2
t=0.17s -> Pos=(0.80) m, Vel=(2.27) m/s, Acel=(2.29) m/s^2
t=0.20s -> Pos=(0.87) m, Vel=(2.29) m/s, Acel=(1.19) m/s^2
t=0.23s -> Pos=(0.95) m, Vel=(2.30) m/s, Acel=(0.58) m/s^2
t=0.27s -> Pos=(1.03) m, Vel=(2.31) m/s, Acel=(0.41) m/s^2
t=0.30s -> Pos=(1.11) m, Vel=(2.32) m/s, Acel=(0.47) m/s^2
t=0.33s -> Pos=(1.18) m, Vel=(2.33) m/s, Acel=(0.61) m/s^2
t=0.37s -> Pos=(1.26) m, Vel=(2.36) m/s, Acel=(0.77) m/s^2
t=0.40s -> Pos=(1.34) m, Vel=(2.39) m/s, Acel=(0.90) m/s^2
t=0.43s -> Pos=(1.42) m, Vel=(2.43) m/s, Acel=(0.94) m/s^2
t=0.47s -> Pos=(1.50) m, Vel=(2.46) m/s, Acel=(0.86) m/s^2
t=0.50s -> Pos=(1.58) m, Vel=(2.49) m/s, Acel=(0.70) m/s^2
t=0.53s -> Pos=(1.67) m, Vel=(2.51) m/s, Acel=(0.53) m/s^2
t=0.57s -> Pos=(1.76) m, Vel=(2.52) m/s, Acel=(0.40) m/s^2
t=0.60s -> Pos=(1.84) m, Vel=(2.53) m/s, Acel=(0.33) m/s^2
t=0.63s -> Pos=(1.92) m, Vel=(2.54) m/s, Acel=(0.31) m/s^2
t=0.67s -> Pos=(2.01) m, Vel=(2.55) m/s, Acel=(0.30) m/s^2
t=0.70s -> Pos=(2.09) m, Vel=(2.56) m/s, Acel=(0.27) m/s^2
t=0.73s -> Pos=(2.18) m, Vel=(2.57) m/s, Acel=(0.22) m/s^2
t=0.77s -> Pos=(2.26) m, Vel=(2.58) m/s, Acel=(0.22) m/s^2
t=0.80s -> Pos=(2.35) m, Vel=(2.58) m/s, Acel=(0.30) m/s^2
t=0.83s -> Pos=(2.44) m, Vel=(2.59) m/s, Acel=(0.47) m/s^2
t=0.87s -> Pos=(2.52) m, Vel=(2.60) m/s, Acel=(0.70) m/s^2
t=0.90s -> Pos=(2.60) m, Vel=(2.63) m/s, Acel=(0.90) m/s^2
t=0.93s -> Pos=(2.70) m, Vel=(2.67) m/s, Acel=(1.00) m/s^2
t=0.97s -> Pos=(2.78) m, Vel=(2.72) m/s, Acel=(0.95) m/s^2
t=1.00s -> Pos=(2.88) m, Vel=(2.75) m/s, Acel=(0.78) m/s^2
t=1.03s -> Pos=(2.97) m, Vel=(2.77) m/s, Acel=(0.57) m/s^2
t=1.07s -> Pos=(3.06) m, Vel=(2.78) m/s, Acel=(0.42) m/s^2
t=1.10s -> Pos=(3.16) m, Vel=(2.79) m/s, Acel=(0.43) m/s^2
t=1.13s -> Pos=(3.26) m, Vel=(2.79) m/s, Acel=(0.62) m/s^2
t=1.17s -> Pos=(3.34) m, Vel=(2.81) m/s, Acel=(0.91) m/s^2
t=1.20s -> Pos=(3.44) m, Vel=(2.85) m/s, Acel=(1.21) m/s^2
t=1.23s -> Pos=(3.52) m, Vel=(2.91) m/s, Acel=(1.37) m/s^2
t=1.27s -> Pos=(3.62) m, Vel=(2.97) m/s, Acel=(1.34) m/s^2
t=1.30s -> Pos=(3.73) m, Vel=(3.02) m/s, Acel=(1.08) m/s^2
t=1.33s -> Pos=(3.83) m, Vel=(3.05) m/s, Acel=(0.68) m/s^2
t=1.37s -> Pos=(3.93) m, Vel=(3.06) m/s, Acel=(0.24) m/s^2
t=1.40s -> Pos=(4.04) m, Vel=(3.06) m/s, Acel=(-0.13) m/s^2
t=1.43s -> Pos=(4.14) m, Vel=(3.04) m/s, Acel=(-0.39) m/s^2
t=1.47s -> Pos=(4.23) m, Vel=(3.02) m/s, Acel=(-0.51) m/s^2
t=1.50s -> Pos=(4.34) m, Vel=(3.00) m/s, Acel=(-0.47) m/s^2
t=1.53s -> Pos=(4.45) m, Vel=(2.98) m/s, Acel=(-0.32) m/s^2
t=1.57s -> Pos=(4.54) m, Vel=(2.97) m/s, Acel=(-0.11) m/s^2
t=1.60s -> Pos=(4.63) m, Vel=(2.97) m/s, Acel=(0.11) m/s^2
t=1.63s -> Pos=(4.73) m, Vel=(2.98) m/s, Acel=(0.28) m/s^2
t=1.67s -> Pos=(4.83) m, Vel=(3.00) m/s, Acel=(0.35) m/s^2
t=1.70s -> Pos=(4.93) m, Vel=(3.02) m/s, Acel=(0.30) m/s^2
t=1.73s -> Pos=(5.04) m, Vel=(3.03) m/s, Acel=(0.17) m/s^2
t=1.77s -> Pos=(5.14) m, Vel=(3.03) m/s, Acel=(-0.02) m/s^2
t=1.80s -> Pos=(5.24) m, Vel=(3.03) m/s, Acel=(-0.25) m/s^2
t=1.83s -> Pos=(5.34) m, Vel=(3.01) m/s, Acel=(-0.55) m/s^2
t=1.87s -> Pos=(5.44) m, Vel=(3.00) m/s, Acel=(-0.93) m/s^2
t=1.90s -> Pos=(5.54) m, Vel=(2.97) m/s, Acel=(-1.40) m/s^2
t=1.93s -> Pos=(5.64) m, Vel=(2.91) m/s, Acel=(-1.88) m/s^2
t=1.97s -> Pos=(5.74) m, Vel=(2.83) m/s, Acel=(-2.28) m/s^2
t=2.00s -> Pos=(5.84) m, Vel=(2.74) m/s, Acel=(-2.47) m/s^2
t=2.03s -> Pos=(5.93) m, Vel=(2.64) m/s, Acel=(-2.42) m/s^2
t=2.07s -> Pos=(6.01) m, Vel=(2.56) m/s, Acel=(-2.22) m/s^2
t=2.10s -> Pos=(6.08) m, Vel=(2.49) m/s, Acel=(-2.04) m/s^2
t=2.13s -> Pos=(6.17) m, Vel=(2.45) m/s, Acel=(-2.02) m/s^2
t=2.17s -> Pos=(6.25) m, Vel=(2.39) m/s, Acel=(-2.25) m/s^2
t=2.20s -> Pos=(6.33) m, Vel=(2.32) m/s, Acel=(-2.65) m/s^2
t=2.23s -> Pos=(6.42) m, Vel=(2.21) m/s, Acel=(-3.03) m/s^2
t=2.27s -> Pos=(6.49) m, Vel=(2.09) m/s, Acel=(-3.22) m/s^2
t=2.30s -> Pos=(6.55) m, Vel=(1.97) m/s, Acel=(-3.14) m/s^2
t=2.33s -> Pos=(6.61) m, Vel=(1.86) m/s, Acel=(-2.82) m/s^2
t=2.37s -> Pos=(6.67) m, Vel=(1.77) m/s, Acel=(-2.42) m/s^2
t=2.40s -> Pos=(6.72) m, Vel=(1.71) m/s, Acel=(-2.15) m/s^2
t=2.43s -> Pos=(6.78) m, Vel=(1.66) m/s, Acel=(-2.10) m/s^2
t=2.47s -> Pos=(6.84) m, Vel=(1.60) m/s, Acel=(-2.28) m/s^2
t=2.50s -> Pos=(6.89) m, Vel=(1.52) m/s, Acel=(-2.61) m/s^2
t=2.53s -> Pos=(6.94) m, Vel=(1.42) m/s, Acel=(-2.94) m/s^2
t=2.57s -> Pos=(6.99) m, Vel=(1.31) m/s, Acel=(-3.16) m/s^2
t=2.60s -> Pos=(7.03) m, Vel=(1.19) m/s, Acel=(-3.23) m/s^2
t=2.63s -> Pos=(7.07) m, Vel=(1.08) m/s, Acel=(-3.22) m/s^2
t=2.67s -> Pos=(7.10) m, Vel=(0.97) m/s, Acel=(-3.22) m/s^2
t=2.70s -> Pos=(7.13) m, Vel=(0.88) m/s, Acel=(-3.28) m/s^2
t=2.73s -> Pos=(7.17) m, Vel=(0.77) m/s, Acel=(-3.33) m/s^2
t=2.77s -> Pos=(7.18) m, Vel=(0.65) m/s, Acel=(-3.29) m/s^2
t=2.80s -> Pos=(7.21) m, Vel=(0.53) m/s, Acel=(-3.12) m/s^2
t=2.83s -> Pos=(7.22) m, Vel=(0.41) m/s, Acel=(-2.82) m/s^2
t=2.87s -> Pos=(7.24) m, Vel=(0.34) m/s, Acel=(-2.59) m/s^2
